CONSIGNEE_NAME,SHIPPER_NAME,TARIFF_CODE,GROSS_WEIGHT_KG,ITEM_VALUE_USD,PORT_OF_LOADING,ARRIVAL_DATE
Samsung Electronics LTD,TSMC,8703.80,49792.84,1302564.62,Rotterdam,2025-04-29
Yeti Coolers LLC INC,Foxconn Technology,6404.11,17932.13,645933.58,Long Beach,2025-06-28
Tesla Motors LTD,Pou Chen Corp,8703.80,30055.16,1316342.27,Long Beach,2026-02-14
Samsung Electronics LTD,BYD Auto,3923.10,45436.46,519157.59,Long Beach,2025-08-25
NIKE USA LTD,Foxconn Technology,3923.10,16196.49,1549614.16,Los Angeles,2025-07-18
Tesla Motors INC,Foxconn Technology,8517.12,18289.34,1769842.17,Los Angeles,2026-02-16
Yeti Coolers LLC INC,Shenzhen Plastics Co,6404.11,17190.4,952494.97,Shenzhen,2026-03-14
NIKE USA CORP,BYD Auto,8517.12,20392.12,1184011.1,Long Beach,2025-03-19
APPLE OPERATIONS INTL CORP,BYD Auto,6404.11,40543.05,11374.87,Long Beach,2025-08-07
Samsung Electronics INC,Foxconn Technology,6404.11,22354.28,1501887.1,Long Beach,2025-06-30
YETI CUSTOM DOMESTIC INC,Pou Chen Corp,8542.31,18077.02,1657703.39,Ho Chi Minh,2025-07-02
Yeti Coolers LLC ,BYD Auto,8703.80,22385.34,770164.11,Shanghai,2026-03-05
YETI CUSTOM DOMESTIC LTD,Pou Chen Corp,6404.11,19282.18,1945784.33,Los Angeles,2025-07-12
APPLE OPERATIONS INTL ,Shenzhen Plastics Co,8703.80,11047.64,1865727.25,Ho Chi Minh,2025-08-04
Tesla Motors LTD,LG Chem,6404.11,34951.02,1553893.94,Rotterdam,2025-06-06
Yeti Coolers LLC LTD,Pou Chen Corp,3923.10,24693.51,273427.55,Rotterdam,2025-05-03
Tesla Motors ,LG Chem,3923.10,47159.71,809514.95,Rotterdam,2026-01-13
APPLE OPERATIONS INTL CORP,Shenzhen Plastics Co,8542.31,22373.1,578336.4,Los Angeles,2025-07-21
YETI CUSTOM DOMESTIC CORP,LG Chem,8517.12,11709.55,195680.18,Long Beach,2026-01-13
YETI CUSTOM DOMESTIC CORP,Pou Chen Corp,8517.12,7865.28,1132439.08,Los Angeles,2026-01-12
YETI CUSTOM DOMESTIC ,Pou Chen Corp,6404.11,30241.81,1059964.51,Ho Chi Minh,2025-07-17
Samsung Electronics ,LG Chem,8542.31,4677.52,238261.06,Ho Chi Minh,2025-08-23
Yeti Coolers LLC INC,TSMC,6404.11,7107.51,1575567.99,Ho Chi Minh,2025-11-01
Nike Inc. CORP,Vietnam Manuf Group,6404.11,48593.53,917863.57,Rotterdam,2025-04-11
APPLE OPERATIONS INTL ,Pou Chen Corp,8703.80,44682.41,613461.22,Shenzhen,2025-09-09
YETI CUSTOM DOMESTIC LTD,Pou Chen Corp,3923.10,4735.25,1329430.54,Rotterdam,2025-03-27
Samsung Electronics ,LG Chem,8542.31,21932.4,406017.02,Rotterdam,2025-07-11
NIKE USA ,BYD Auto,6404.11,30137.02,1942989.0,Los Angeles,2025-12-29
NIKE USA CORP,LG Chem,8703.80,12011.21,1180612.57,Long Beach,2026-01-20
YETI CUSTOM DOMESTIC INC,LG Chem,8703.80,1975.25,168109.53,Los Angeles,2026-02-07
Nike Inc. INC,Shenzhen Plastics Co,8517.12,41034.03,47359.74,Shanghai,2025-08-28
YETI CUSTOM DOMESTIC CORP,LG Chem,3923.10,6190.93,1704932.48,Los Angeles,2026-02-26
YETI CUSTOM DOMESTIC INC,BYD Auto,8542.31,40686.79,1671180.96,Long Beach,2025-07-17
Samsung Electronics CORP,Pou Chen Corp,8517.12,18978.65,184111.54,Rotterdam,2026-02-16
Samsung Electronics ,Pou Chen Corp,8703.80,35258.76,1754365.98,Los Angeles,2025-11-05
YETI CUSTOM DOMESTIC ,Foxconn Technology,8542.31,3244.7,1796807.9,Long Beach,2025-04-25
YETI CUSTOM DOMESTIC INC,BYD Auto,8703.80,28985.84,1035158.38,Ho Chi Minh,2026-02-08
APPLE OPERATIONS INTL CORP,Pou Chen Corp,6404.11,39369.87,960296.01,Shanghai,2025-03-29
NIKE USA ,Shenzhen Plastics Co,8542.31,16520.37,849908.83,Long Beach,2025-05-13
Yeti Coolers LLC LTD,BYD Auto,8542.31,28789.69,376345.49,Shanghai,2025-10-29
Apple Inc. INC,Foxconn Technology,8703.80,13426.27,1731768.01,Los Angeles,2025-10-10
Nike Inc. LTD,Vietnam Manuf Group,8517.12,26037.16,818361.27,Rotterdam,2025-05-21
Tesla Motors INC,Vietnam Manuf Group,6404.11,17296.29,1148582.95,Rotterdam,2025-11-23
APPLE OPERATIONS INTL ,LG Chem,8542.31,7563.22,962456.75,Ho Chi Minh,2026-02-22
Nike Inc. LTD,Vietnam Manuf Group,8542.31,45748.03,794231.47,Long Beach,2025-04-09
APPLE OPERATIONS INTL CORP,Shenzhen Plastics Co,3923.10,37579.27,280827.98,Rotterdam,2026-02-11
Yeti Coolers LLC INC,TSMC,8542.31,24370.11,320773.04,Long Beach,2026-02-02
Nike Inc. INC,Pou Chen Corp,6404.11,28763.19,1029307.19,Long Beach,2025-07-30
YETI CUSTOM DOMESTIC ,Shenzhen Plastics Co,8542.31,22830.65,789461.15,Shenzhen,2025-11-25
NIKE USA INC,TSMC,8703.80,35308.49,860775.99,Rotterdam,2026-02-27
Apple Inc. ,TSMC,8517.12,10027.1,667831.57,Ho Chi Minh,2026-03-05
NIKE USA INC,Shenzhen Plastics Co,8542.31,1444.52,39183.51,Shanghai,2025-06-16
Yeti Coolers LLC LTD,Pou Chen Corp,6404.11,37814.23,1030960.86,Los Angeles,2025-10-06
Nike Inc. LTD,BYD Auto,6404.11,19351.6,1296409.66,Shanghai,2025-09-26
NIKE USA INC,Pou Chen Corp,8517.12,7283.34,244636.51,Shenzhen,2025-08-06
Yeti Coolers LLC ,TSMC,8542.31,34396.63,270268.93,Shanghai,2025-08-17
NIKE USA INC,Vietnam Manuf Group,6404.11,36951.31,373374.08,Shanghai,2025-10-15
Yeti Coolers LLC INC,Vietnam Manuf Group,6404.11,29327.64,1868432.02,Long Beach,2026-01-07
Tesla Motors ,Vietnam Manuf Group,8703.80,44146.12,1833627.07,Long Beach,2025-05-27
Apple Inc. LTD,Foxconn Technology,3923.10,8955.32,1843299.13,Long Beach,2026-02-23
Samsung Electronics ,BYD Auto,8517.12,20261.87,610464.75,Rotterdam,2026-01-19
YETI CUSTOM DOMESTIC CORP,Foxconn Technology,8542.31,2555.65,639881.75,Rotterdam,2026-02-04
Samsung Electronics LTD,Pou Chen Corp,3923.10,15763.31,434188.48,Ho Chi Minh,2025-03-18
Yeti Coolers LLC INC,Shenzhen Plastics Co,6404.11,31797.37,1407020.8,Los Angeles,2025-09-15
Tesla Motors INC,BYD Auto,3923.10,25876.03,338043.27,Los Angeles,2025-03-16
Nike Inc. CORP,Foxconn Technology,8703.80,29456.93,919577.72,Shanghai,2026-02-20
Nike Inc. LTD,Pou Chen Corp,8517.12,47802.77,415356.93,Shanghai,2025-11-25
Tesla Motors ,Vietnam Manuf Group,8703.80,25154.73,1494462.68,Long Beach,2025-07-31
Tesla Motors INC,TSMC,8542.31,5238.93,1997128.69,Long Beach,2025-08-28
YETI CUSTOM DOMESTIC ,Pou Chen Corp,8517.12,15822.48,1579897.4,Long Beach,2025-04-29
Yeti Coolers LLC INC,LG Chem,6404.11,4968.01,1890327.05,Shenzhen,2025-04-10
Yeti Coolers LLC ,Vietnam Manuf Group,8703.80,8906.82,1842539.29,Rotterdam,2026-02-17
Samsung Electronics CORP,Pou Chen Corp,8542.31,39501.37,1227434.41,Long Beach,2025-09-17
Apple Inc. ,Pou Chen Corp,3923.10,17178.15,1812156.47,Shenzhen,2025-04-10
YETI CUSTOM DOMESTIC LTD,BYD Auto,8542.31,34001.48,293470.94,Rotterdam,2025-05-26
Samsung Electronics CORP,Vietnam Manuf Group,8517.12,43010.02,1647436.94,Ho Chi Minh,2025-03-28
Apple Inc. LTD,BYD Auto,6404.11,27869.59,1179232.87,Shanghai,2025-11-16
Samsung Electronics ,Vietnam Manuf Group,3923.10,25787.68,291942.02,Ho Chi Minh,2025-04-12
Tesla Motors LTD,Vietnam Manuf Group,8703.80,23187.0,483823.22,Shenzhen,2025-04-03
Tesla Motors ,Shenzhen Plastics Co,3923.10,47661.07,480071.57,Shanghai,2025-06-14
YETI CUSTOM DOMESTIC CORP,Pou Chen Corp,8703.80,49073.48,223040.11,Long Beach,2026-02-16
Nike Inc. ,LG Chem,8517.12,12547.29,599921.62,Shanghai,2025-12-08
YETI CUSTOM DOMESTIC LTD,Foxconn Technology,8703.80,49756.69,1808498.99,Ho Chi Minh,2026-03-09
APPLE OPERATIONS INTL ,LG Chem,8542.31,36865.46,1715391.62,Rotterdam,2026-02-09
YETI CUSTOM DOMESTIC ,LG Chem,3923.10,32547.31,1129561.39,Shanghai,2025-06-16
Samsung Electronics INC,Shenzhen Plastics Co,3923.10,23493.28,891971.42,Shanghai,2025-07-06
Tesla Motors CORP,LG Chem,3923.10,20419.75,911151.1,Los Angeles,2026-01-27
Yeti Coolers LLC LTD,LG Chem,8517.12,12866.2,466838.32,Los Angeles,2025-06-26
Yeti Coolers LLC LTD,Vietnam Manuf Group,8703.80,8927.42,793171.74,Los Angeles,2025-03-23
Tesla Motors INC,BYD Auto,8703.80,15441.28,347815.36,Ho Chi Minh,2025-12-28
APPLE OPERATIONS INTL INC,LG Chem,8703.80,29281.27,1449753.53,Ho Chi Minh,2025-05-20
YETI CUSTOM DOMESTIC ,LG Chem,3923.10,18818.87,1462019.2,Shanghai,2025-05-06
APPLE OPERATIONS INTL LTD,TSMC,8517.12,33729.11,839452.28,Shenzhen,2025-10-20
Apple Inc. LTD,TSMC,8703.80,32593.48,435701.16,Rotterdam,2025-07-14
NIKE USA ,Vietnam Manuf Group,6404.11,22567.8,95417.38,Rotterdam,2025-11-25
Nike Inc. LTD,BYD Auto,8517.12,11994.05,365591.7,Shenzhen,2025-08-22
YETI CUSTOM DOMESTIC LTD,Pou Chen Corp,8517.12,34011.9,240870.09,Shanghai,2025-11-11
YETI CUSTOM DOMESTIC INC,BYD Auto,8517.12,46128.66,1383593.07,Shenzhen,2025-07-11
Nike Inc. INC,Foxconn Technology,8703.80,17645.83,756603.2,Ho Chi Minh,2025-03-26
APPLE OPERATIONS INTL INC,TSMC,6404.11,21386.71,1260121.44,Long Beach,2025-11-27
Nike Inc. ,BYD Auto,8703.80,8184.37,649764.85,Long Beach,2025-11-03
YETI CUSTOM DOMESTIC CORP,Shenzhen Plastics Co,8703.80,17626.73,1662937.96,Ho Chi Minh,2025-07-07
Apple Inc. ,LG Chem,8517.12,36181.25,1225182.3,Shenzhen,2025-09-19
NIKE USA CORP,BYD Auto,8517.12,38820.37,1470751.07,Long Beach,2025-03-25
APPLE OPERATIONS INTL CORP,Pou Chen Corp,8517.12,35704.66,1974336.99,Long Beach,2025-09-25
YETI CUSTOM DOMESTIC INC,Pou Chen Corp,3923.10,31055.39,1508236.62,Long Beach,2025-08-31
Samsung Electronics CORP,Pou Chen Corp,8517.12,12675.26,561154.99,Los Angeles,2026-01-08
Apple Inc. INC,Vietnam Manuf Group,8542.31,24534.54,541024.05,Shanghai,2025-12-12
Yeti Coolers LLC LTD,TSMC,8517.12,20908.28,1542852.14,Los Angeles,2026-02-06
YETI CUSTOM DOMESTIC INC,Pou Chen Corp,8542.31,48723.01,1023901.22,Rotterdam,2025-04-28
Yeti Coolers LLC LTD,Foxconn Technology,8542.31,4047.93,1946785.29,Long Beach,2025-07-09
NIKE USA CORP,TSMC,6404.11,2650.15,1208729.38,Long Beach,2026-02-03
Yeti Coolers LLC ,Vietnam Manuf Group,6404.11,9166.29,1593744.4,Shanghai,2026-02-03
YETI CUSTOM DOMESTIC ,Shenzhen Plastics Co,8517.12,2593.48,1200966.09,Shenzhen,2025-08-29
Yeti Coolers LLC LTD,Vietnam Manuf Group,8542.31,16224.5,1020510.75,Rotterdam,2025-06-24
NIKE USA ,Pou Chen Corp,8517.12,34484.48,1364495.51,Shanghai,2025-06-28
YETI CUSTOM DOMESTIC ,BYD Auto,3923.10,22138.38,1590436.89,Rotterdam,2025-07-26
APPLE OPERATIONS INTL ,Shenzhen Plastics Co,8703.80,9734.53,469314.95,Shanghai,2025-07-21
Yeti Coolers LLC ,BYD Auto,8517.12,12577.85,1829028.07,Shenzhen,2025-06-23
Tesla Motors ,Vietnam Manuf Group,8517.12,4201.78,1276499.8,Shenzhen,2025-07-15
YETI CUSTOM DOMESTIC CORP,Vietnam Manuf Group,3923.10,43292.55,1947791.81,Rotterdam,2025-07-23
NIKE USA CORP,LG Chem,6404.11,27298.56,1517759.46,Shenzhen,2025-10-23
Yeti Coolers LLC CORP,Vietnam Manuf Group,6404.11,4683.72,1736229.97,Shenzhen,2025-07-03
YETI CUSTOM DOMESTIC ,LG Chem,8703.80,6668.75,1435582.51,Los Angeles,2026-02-07
Tesla Motors ,BYD Auto,8517.12,27377.39,340380.96,Shenzhen,2025-08-16
Tesla Motors LTD,Vietnam Manuf Group,6404.11,49891.9,1058661.43,Shenzhen,2025-11-06
APPLE OPERATIONS INTL INC,Shenzhen Plastics Co,8703.80,4697.11,1877006.57,Shenzhen,2025-05-19
Samsung Electronics LTD,Foxconn Technology,8517.12,1551.27,1175331.36,Long Beach,2025-06-25
APPLE OPERATIONS INTL CORP,LG Chem,8703.80,20305.77,778912.82,Rotterdam,2025-04-29
YETI CUSTOM DOMESTIC ,LG Chem,3923.10,44899.11,1152299.41,Shanghai,2025-10-20
YETI CUSTOM DOMESTIC INC,BYD Auto,3923.10,18025.14,894233.6,Shenzhen,2025-11-15
Nike Inc. ,LG Chem,8517.12,12010.76,1139314.82,Ho Chi Minh,2025-04-07
Samsung Electronics CORP,Shenzhen Plastics Co,8542.31,15384.35,1239793.02,Shanghai,2026-02-06
NIKE USA INC,Foxconn Technology,3923.10,43292.77,917603.53,Shanghai,2025-09-22
NIKE USA LTD,Shenzhen Plastics Co,3923.10,11336.26,1539298.98,Rotterdam,2025-12-31
Tesla Motors LTD,Shenzhen Plastics Co,3923.10,36008.37,1771255.5,Los Angeles,2025-05-12
Samsung Electronics LTD,Shenzhen Plastics Co,3923.10,7786.42,366773.04,Shanghai,2025-09-08
Yeti Coolers LLC CORP,Foxconn Technology,3923.10,1984.32,449653.5,Ho Chi Minh,2026-02-03
Samsung Electronics LTD,Shenzhen Plastics Co,8517.12,8426.04,171131.05,Shanghai,2025-05-06
Nike Inc. ,Shenzhen Plastics Co,8542.31,44418.06,1686773.79,Los Angeles,2025-10-23
YETI CUSTOM DOMESTIC LTD,Pou Chen Corp,3923.10,32799.79,825007.12,Shenzhen,2025-08-10
Apple Inc. CORP,Shenzhen Plastics Co,3923.10,25966.34,87036.56,Long Beach,2025-09-12
Nike Inc. CORP,Shenzhen Plastics Co,3923.10,9580.38,165601.88,Shenzhen,2026-01-07
Samsung Electronics LTD,BYD Auto,8542.31,46206.81,1670269.59,Long Beach,2025-08-14
Yeti Coolers LLC LTD,Foxconn Technology,8517.12,10859.4,1039358.18,Rotterdam,2025-08-19
Yeti Coolers LLC LTD,Pou Chen Corp,3923.10,1407.62,1341593.47,Shenzhen,2025-06-24
APPLE OPERATIONS INTL LTD,BYD Auto,8542.31,9848.54,1024851.36,Shenzhen,2025-08-20
APPLE OPERATIONS INTL INC,TSMC,8542.31,35436.78,1309656.85,Shanghai,2026-02-10
Yeti Coolers LLC LTD,LG Chem,8542.31,17833.57,1510655.06,Rotterdam,2026-01-06
Yeti Coolers LLC ,LG Chem,6404.11,29621.81,571766.09,Long Beach,2025-04-30
Yeti Coolers LLC LTD,LG Chem,8703.80,21621.12,1368718.38,Long Beach,2025-09-13
Tesla Motors CORP,TSMC,8517.12,10229.38,967660.38,Los Angeles,2025-11-19
YETI CUSTOM DOMESTIC CORP,Pou Chen Corp,8517.12,40077.2,1417545.02,Shanghai,2025-05-18
APPLE OPERATIONS INTL LTD,Foxconn Technology,8517.12,45415.91,1463087.92,Los Angeles,2025-11-21
YETI CUSTOM DOMESTIC INC,Pou Chen Corp,8517.12,40540.18,1277501.62,Shanghai,2025-11-13
Nike Inc. LTD,LG Chem,8517.12,34407.98,1550508.67,Shanghai,2025-06-27
APPLE OPERATIONS INTL INC,BYD Auto,8517.12,33665.68,1583279.98,Shenzhen,2025-10-07
APPLE OPERATIONS INTL ,Shenzhen Plastics Co,8517.12,44892.43,838910.45,Rotterdam,2025-05-06
Samsung Electronics LTD,Shenzhen Plastics Co,8517.12,9551.8,988642.2,Shenzhen,2025-09-23
Tesla Motors CORP,Pou Chen Corp,8703.80,30650.3,1523755.55,Shenzhen,2025-03-17
Samsung Electronics INC,Shenzhen Plastics Co,3923.10,42970.8,1529666.81,Rotterdam,2025-11-14
NIKE USA INC,LG Chem,8542.31,42248.2,874087.84,Los Angeles,2025-09-16
Yeti Coolers LLC LTD,Vietnam Manuf Group,8517.12,40750.53,1436160.87,Shenzhen,2025-03-18
Yeti Coolers LLC ,Shenzhen Plastics Co,6404.11,40220.21,606781.8,Shanghai,2025-05-23
Yeti Coolers LLC CORP,Shenzhen Plastics Co,8542.31,32185.5,1961311.51,Rotterdam,2025-07-30
Apple Inc. ,TSMC,8517.12,24212.22,1185118.63,Long Beach,2026-02-12
Nike Inc. CORP,Foxconn Technology,3923.10,45298.39,1917573.12,Long Beach,2025-05-29
Nike Inc. ,Foxconn Technology,6404.11,22713.68,1150411.53,Los Angeles,2025-07-17
APPLE OPERATIONS INTL CORP,Vietnam Manuf Group,3923.10,9744.35,315508.84,Shanghai,2026-03-07
Apple Inc. LTD,Vietnam Manuf Group,8703.80,23361.35,252571.05,Shanghai,2026-02-06
YETI CUSTOM DOMESTIC INC,Vietnam Manuf Group,8703.80,10007.96,890979.9,Long Beach,2025-07-26
Samsung Electronics CORP,BYD Auto,3923.10,5708.28,846352.25,Shenzhen,2025-09-10
Nike Inc. ,LG Chem,8542.31,36438.87,1857885.44,Shanghai,2025-08-03
NIKE USA LTD,BYD Auto,8542.31,43095.53,1371465.0,Shenzhen,2025-04-02
APPLE OPERATIONS INTL LTD,BYD Auto,8517.12,23168.43,338515.54,Ho Chi Minh,2025-06-17
Nike Inc. CORP,TSMC,3923.10,6477.9,135453.92,Los Angeles,2026-03-09
APPLE OPERATIONS INTL ,Shenzhen Plastics Co,6404.11,1709.0,351701.74,Shanghai,2025-06-28
Samsung Electronics INC,TSMC,3923.10,44430.28,1281561.23,Shenzhen,2025-05-21
Apple Inc. INC,LG Chem,8517.12,2396.64,14846.04,Los Angeles,2025-11-27
NIKE USA CORP,TSMC,8542.31,41445.28,1821605.79,Shanghai,2026-01-09
NIKE USA LTD,Vietnam Manuf Group,8542.31,42825.19,1619654.41,Long Beach,2025-12-17
Nike Inc. INC,LG Chem,8703.80,9252.74,381108.68,Los Angeles,2026-01-25
Nike Inc. LTD,Foxconn Technology,8542.31,46490.34,984521.66,Los Angeles,2026-03-04
Yeti Coolers LLC LTD,Pou Chen Corp,8703.80,18613.63,907632.33,Los Angeles,2025-09-14
APPLE OPERATIONS INTL CORP,Vietnam Manuf Group,8703.80,28792.12,649607.09,Los Angeles,2025-08-01
APPLE OPERATIONS INTL ,LG Chem,8517.12,13635.53,1466063.14,Rotterdam,2025-12-02
Yeti Coolers LLC LTD,LG Chem,8517.12,44497.96,1320178.16,Los Angeles,2026-02-24
Yeti Coolers LLC CORP,Vietnam Manuf Group,6404.11,38518.72,1504418.03,Los Angeles,2025-12-23
Tesla Motors INC,Foxconn Technology,3923.10,6121.55,688047.85,Shenzhen,2026-03-05
YETI CUSTOM DOMESTIC LTD,Vietnam Manuf Group,8542.31,23145.19,1078474.82,Ho Chi Minh,2025-07-13
APPLE OPERATIONS INTL LTD,Shenzhen Plastics Co,6404.11,23411.03,1184635.89,Los Angeles,2025-04-02
APPLE OPERATIONS INTL INC,LG Chem,6404.11,48546.92,1440380.77,Shanghai,2026-01-04
Yeti Coolers LLC LTD,TSMC,8542.31,5003.09,1990683.08,Ho Chi Minh,2025-12-05
NIKE USA INC,Foxconn Technology,3923.10,6710.65,641775.0,Ho Chi Minh,2025-06-26
Tesla Motors CORP,Vietnam Manuf Group,3923.10,5384.18,1345041.28,Shenzhen,2025-03-23
NIKE USA INC,Pou Chen Corp,8703.80,10761.27,1175485.08,Shanghai,2025-05-21
YETI CUSTOM DOMESTIC LTD,BYD Auto,8703.80,19784.85,673988.4,Ho Chi Minh,2025-06-01
Nike Inc. LTD,BYD Auto,3923.10,32312.87,1107020.25,Long Beach,2026-01-10
Samsung Electronics ,Shenzhen Plastics Co,3923.10,45908.47,816995.23,Long Beach,2025-08-11
Tesla Motors CORP,Shenzhen Plastics Co,3923.10,46354.0,947095.86,Shenzhen,2025-05-25
Apple Inc. LTD,Pou Chen Corp,8542.31,21917.36,1215709.53,Shenzhen,2025-05-24
Yeti Coolers LLC CORP,Shenzhen Plastics Co,6404.11,12443.25,1285591.24,Long Beach,2025-12-03
YETI CUSTOM DOMESTIC ,Pou Chen Corp,3923.10,27212.8,1600706.15,Los Angeles,2025-06-13
APPLE OPERATIONS INTL ,Vietnam Manuf Group,8703.80,48102.12,13349.42,Rotterdam,2026-02-27
Tesla Motors ,BYD Auto,6404.11,35280.08,711245.38,Rotterdam,2025-03-27
Tesla Motors CORP,Vietnam Manuf Group,8517.12,14887.68,1661410.92,Long Beach,2025-11-19
Nike Inc. LTD,TSMC,8517.12,10673.23,376335.46,Los Angeles,2025-10-05
Nike Inc. CORP,TSMC,3923.10,25904.12,724120.05,Shanghai,2026-01-03
Samsung Electronics ,Foxconn Technology,8517.12,9997.31,1012915.74,Los Angeles,2025-12-20
APPLE OPERATIONS INTL INC,LG Chem,8517.12,9526.11,1251902.36,Rotterdam,2026-03-02
YETI CUSTOM DOMESTIC ,LG Chem,8703.80,19878.25,436335.82,Ho Chi Minh,2025-12-29
Yeti Coolers LLC INC,Shenzhen Plastics Co,3923.10,3751.98,389843.79,Rotterdam,2025-05-27
Samsung Electronics INC,Vietnam Manuf Group,8703.80,22820.82,1702792.17,Los Angeles,2025-07-22
APPLE OPERATIONS INTL INC,TSMC,3923.10,15579.91,363737.5,Shanghai,2025-08-11
APPLE OPERATIONS INTL ,Foxconn Technology,3923.10,5363.98,1933296.14,Los Angeles,2025-06-18
Yeti Coolers LLC CORP,LG Chem,8703.80,22062.74,845203.87,Rotterdam,2025-05-28
Apple Inc. INC,Foxconn Technology,8542.31,47436.12,1960099.22,Shenzhen,2025-09-02
NIKE USA INC,Foxconn Technology,8517.12,29263.48,817473.34,Los Angeles,2025-10-21
Nike Inc. ,Foxconn Technology,8703.80,47685.07,160935.93,Ho Chi Minh,2025-05-17
Tesla Motors LTD,Vietnam Manuf Group,3923.10,1045.55,1995676.35,Long Beach,2026-01-10
APPLE OPERATIONS INTL LTD,Pou Chen Corp,3923.10,4234.84,1509764.71,Shenzhen,2026-01-07
Nike Inc. ,TSMC,8542.31,23450.98,1358654.61,Shenzhen,2026-01-16
APPLE OPERATIONS INTL CORP,BYD Auto,8517.12,11710.8,1497542.28,Los Angeles,2025-07-16
Yeti Coolers LLC ,BYD Auto,8703.80,44416.07,792665.35,Ho Chi Minh,2025-03-17
Yeti Coolers LLC ,Foxconn Technology,6404.11,44110.03,1421504.41,Shenzhen,2025-05-17
Nike Inc. CORP,Shenzhen Plastics Co,8703.80,11821.79,1339501.13,Rotterdam,2025-04-14
Yeti Coolers LLC LTD,Vietnam Manuf Group,8542.31,3358.3,1003223.73,Los Angeles,2026-03-01
YETI CUSTOM DOMESTIC CORP,TSMC,8542.31,29850.18,1107815.62,Ho Chi Minh,2025-07-29
Apple Inc. ,LG Chem,8703.80,27854.96,1838036.72,Shenzhen,2025-08-13
Apple Inc. INC,Vietnam Manuf Group,8542.31,49552.9,220141.42,Ho Chi Minh,2025-12-22
YETI CUSTOM DOMESTIC LTD,Vietnam Manuf Group,8542.31,22913.83,1724373.92,Long Beach,2025-05-25
Yeti Coolers LLC INC,Vietnam Manuf Group,8542.31,39024.6,1015665.41,Shenzhen,2025-03-27
Yeti Coolers LLC INC,Pou Chen Corp,6404.11,10532.01,79954.98,Shanghai,2025-10-18
Samsung Electronics LTD,Foxconn Technology,6404.11,30489.88,869575.33,Shenzhen,2026-02-23
Nike Inc. LTD,Vietnam Manuf Group,3923.10,29027.9,88436.88,Long Beach,2026-01-13
Tesla Motors ,LG Chem,8542.31,29987.6,1693067.65,Long Beach,2025-04-06
NIKE USA CORP,Foxconn Technology,8542.31,7908.3,241323.4,Rotterdam,2025-05-27
Nike Inc. INC,Shenzhen Plastics Co,6404.11,29866.21,1549878.77,Long Beach,2025-05-22
Nike Inc. LTD,TSMC,8703.80,8480.71,96666.63,Shenzhen,2026-01-13
Apple Inc. INC,Foxconn Technology,3923.10,48931.11,1555700.48,Shenzhen,2025-11-05
Samsung Electronics INC,LG Chem,6404.11,6346.72,122874.21,Shanghai,2025-04-27
Yeti Coolers LLC INC,LG Chem,3923.10,13689.96,807734.56,Shenzhen,2026-01-10
Tesla Motors INC,Foxconn Technology,8542.31,24975.59,1246831.62,Rotterdam,2025-04-28
NIKE USA LTD,Pou Chen Corp,3923.10,13356.11,1769782.02,Rotterdam,2025-07-19
NIKE USA INC,BYD Auto,6404.11,35660.67,204649.97,Ho Chi Minh,2026-02-12
YETI CUSTOM DOMESTIC CORP,LG Chem,8703.80,15066.08,126677.18,Los Angeles,2025-10-18
Yeti Coolers LLC LTD,Vietnam Manuf Group,6404.11,13245.55,1521807.71,Ho Chi Minh,2025-09-22
Apple Inc. CORP,Shenzhen Plastics Co,8517.12,34372.44,1518403.45,Rotterdam,2025-04-30
APPLE OPERATIONS INTL ,Vietnam Manuf Group,8703.80,3859.69,1109008.05,Shenzhen,2025-08-02
Tesla Motors CORP,Foxconn Technology,8517.12,35163.24,1763163.09,Shenzhen,2025-10-02
YETI CUSTOM DOMESTIC INC,BYD Auto,8703.80,20676.32,1012609.91,Long Beach,2026-01-24
YETI CUSTOM DOMESTIC INC,Shenzhen Plastics Co,3923.10,23388.01,179037.07,Shenzhen,2025-11-19
Apple Inc. CORP,BYD Auto,3923.10,5533.46,915644.3,Rotterdam,2025-07-11
APPLE OPERATIONS INTL ,LG Chem,8703.80,39269.16,673193.95,Long Beach,2025-08-07
YETI CUSTOM DOMESTIC CORP,BYD Auto,8517.12,30191.69,21342.75,Shanghai,2026-01-09
Tesla Motors CORP,Vietnam Manuf Group,3923.10,29164.07,1513597.79,Shanghai,2025-09-17
Tesla Motors LTD,BYD Auto,8703.80,26990.97,63326.77,Rotterdam,2026-01-15
NIKE USA ,Shenzhen Plastics Co,8703.80,5258.65,950049.11,Shanghai,2025-08-10
Nike Inc. CORP,Foxconn Technology,3923.10,31714.1,402325.78,Shanghai,2025-06-28
Nike Inc. ,Vietnam Manuf Group,8542.31,35316.34,619235.61,Los Angeles,2025-08-27
Samsung Electronics ,Shenzhen Plastics Co,8703.80,30095.26,1039950.9,Long Beach,2025-09-13
Tesla Motors LTD,LG Chem,6404.11,41609.4,1396829.37,Ho Chi Minh,2025-03-19
NIKE USA ,Pou Chen Corp,6404.11,39038.36,497767.63,Long Beach,2025-08-14
Nike Inc. CORP,Foxconn Technology,8703.80,43458.67,658188.49,Shenzhen,2025-04-24
APPLE OPERATIONS INTL LTD,TSMC,8517.12,34401.91,1836504.71,Long Beach,2025-12-29
APPLE OPERATIONS INTL INC,Shenzhen Plastics Co,6404.11,5805.01,1527254.06,Long Beach,2025-05-09
Tesla Motors CORP,TSMC,8703.80,17351.28,1396598.3,Rotterdam,2026-01-23
